,latitude,longitude,depth,mag,id,country,day,month,year,timestamp
85,-57.84,-25.285999999999998,33.0,4.0,usp0009tmt,None,29,5,2000,959631223700000000
228,51.81100000000001,178.607,115.6,3.9,usp0009teq,United States,24,5,2000,959192217060000000
241,13.751,57.095,10.0,4.3,usp0009te5,None,24,5,2000,959173368850000000
259,47.016000000000005,151.21,133.7,4.4,usp0009tdg,None,24,5,2000,959148677140000000
382,-1.663,123.10700000000001,33.0,4.0,usp0009t8s,Indonesia,21,5,2000,958882946110000000
775,-14.687999999999999,173.222,623.8,4.5,usp0009ss3,None,11,5,2000,958012474230000000
782,21.462,144.558,200.0,3.2,usp0009srv,None,11,5,2000,958004142130000000
805,-57.206,-25.787,33.0,4.4,usp0009sqz,None,10,5,2000,957975319090000000
812,-40.31,176.56,33.0,3.9,usp0009sqs,New Zealand,10,5,2000,957961630100000000
1417,14.758,-48.518,10.0,4.1,usp0009rz5,None,27,4,2000,956876030980000000
1418,38.397,22.104,10.0,4.1,usp0009rz3,Greece,27,4,2000,956874532670000000
1422,10.102,-63.257,33.0,3.8,usp0009ryz,Venezuela,27,4,2000,956868884060000000
1440,-17.554000000000002,-176.75599999999997,33.0,5.4,usp0009rya,None,27,4,2000,956824707120000000
1560,-19.84,-177.77599999999998,550.0,4.2,usp0009rtd,None,24,4,2000,956580011680000000
1865,-20.235,174.21,550.0,4.5,usp0009rcy,None,16,4,2000,955908180040000000
1880,28.541999999999998,-112.88600000000001,10.0,3.8,usp0009rc9,Mexico,16,4,2000,955877643790000000
1992,10.975999999999999,-62.076,69.0,4.3,usp0009r6u,Venezuela,12,4,2000,955557967570000000
2085,23.741999999999997,-47.049,10.0,3.8,usp0009r2g,None,9,4,2000,955307377130000000
2090,-60.966,-25.772,33.0,4.3,usp0009r2a,None,9,4,2000,955291717080000000
2404,-17.704,-178.798,565.2,4.4,usp0009qn2,Fiji,1,4,2000,954606386240000000
2525,22.261999999999997,143.453,105.7,5.1,usp0009qfd,None,29,3,2000,954368572320000000
2528,16.913,146.341,75.7,4.8,usp0009qf6,None,29,3,2000,954361480440000000
2972,-7.125,129.922,127.7,4.2,usp0009pva,Indonesia,18,3,2000,953377985410000000
3087,-61.77,160.816,10.0,5.6,usp0009pq5,None,14,3,2000,953065338830000000
3228,2.987,122.404,586.7,3.4,usp0009ph6,None,10,3,2000,952693471210000000
3244,-29.744,-177.90400000000002,33.0,4.8,usp0009pgf,None,9,3,2000,952645056610000000
3549,-33.678000000000004,-70.986,60.2,3.3,usp0009p3e,Chile,29,2,2000,951808575310000000
3674,-19.528,173.81799999999998,33.0,7.1,usp0009nxg,None,25,2,2000,951443038640000000
3797,21.658,144.175,33.0,3.8,usp0009ns0,None,21,2,2000,951101294800000000
3800,21.739,143.56,33.0,5.1,usp0009nrv,None,20,2,2000,951091042260000000
4098,-27.643,65.683,10.0,4.8,usp0009nbt,None,11,2,2000,950308919570000000
4117,-32.766,-71.51100000000001,14.4,3.9,usp0009naw,Chile,11,2,2000,950247100860000000
4126,-27.427,65.712,10.0,4.4,usp0009nak,None,10,2,2000,950222342350000000
4229,44.191,-128.644,10.0,4.1,usp0009n5z,None,7,2,2000,949945843540000000
4231,31.037,141.694,33.0,5.4,usp0009n5x,None,7,2,2000,949941664580000000
4442,38.65,20.26,5.0,3.2,usp0009mwc,None,31,1,2000,949332527300000000
4648,-17.847,-179.921,650.0,4.7,usp0009mmd,Fiji,24,1,2000,948742121510000000
4659,21.666,144.22299999999998,125.8,4.6,usp0009mkw,None,24,1,2000,948689478300000000
4769,-17.538,-65.08800000000001,33.0,4.0,usp0009meb,Bolivia,20,1,2000,948409539320000000
4815,39.411,27.71,10.0,3.7,usp0009mck,Turkey,19,1,2000,948310980100000000
4932,-45.193000000000005,-14.401,10.0,4.4,usp0009m77,None,16,1,2000,948001910500000000
5209,-56.482,-28.151999999999997,183.6,4.5,usp0009kuj,None,7,1,2000,947214444670000000
5572,49.242,148.233,518.9,3.8,usp000a6tw,None,28,12,2000,977977266600000000
6664,51.54,177.58900000000003,65.8,4.6,usp000a5a9,None,1,12,2000,975640504720000000
6682,-8.847999999999999,154.0,33.0,4.3,usp000a59f,None,30,11,2000,975603084100000000
6683,-5.501,152.637,33.0,4.2,usp000a59e,None,30,11,2000,975602777640000000
6886,40.231,49.983999999999995,33.0,4.3,usp000a4z8,Azerbaijan,26,11,2000,975211222310000000
7341,78.601,-19.793,10.0,4.4,usp000a4bw,Greenland,19,11,2000,974607442680000000
7455,-4.8660000000000005,152.24,33.0,3.9,usp000a479,Papua New Guinea,18,11,2000,974516694490000000
7468,-5.269,153.151,33.0,5.5,usp000a46s,None,18,11,2000,974506618530000000
8347,17.660999999999998,-61.128,33.0,4.0,usp000a2qa,None,30,10,2000,972899913110000000
8927,-60.191,-46.81,10.0,5.3,usp000a1s5,None,14,10,2000,971555936650000000
9328,18.167,-67.406,7.3,3.7,usp000a15j,None,2,10,2000,970508633170000000
9332,-2.219,134.061,33.0,4.5,usp000a15c,Indonesia,2,10,2000,970503167670000000
9338,-33.959,-70.40899999999999,116.3,3.1,usp000a151,Chile,2,10,2000,970474799830000000
9346,-3.95,127.461,33.0,4.7,usp000a14t,Indonesia,2,10,2000,970463314650000000
9624,15.92,-60.434,33.0,4.1,usp000a0r8,None,24,9,2000,969782155310000000
9630,19.435,-109.029,10.0,3.7,usp000a0qy,None,24,9,2000,969772471970000000
9638,-33.926,-70.318,118.3,3.2,usp000a0qm,Chile,23,9,2000,969752663410000000
9847,-31.000999999999998,-13.29,10.0,4.9,usp000a0c0,None,17,9,2000,969166090760000000
9952,-58.555,-24.951999999999998,33.0,4.7,usp000a06t,None,13,9,2000,968841293580000000
10026,2.456,128.735,33.0,4.6,usp000a03c,Indonesia,11,9,2000,968699745270000000
10029,35.713,45.206,74.4,4.6,usp000a038,Iraq,11,9,2000,968691296520000000
10031,-57.726000000000006,-25.388,33.0,4.8,usp000a034,None,11,9,2000,968686168700000000
10302,15.093,-93.11200000000001,20.0,4.2,usp0009zmn,None,3,9,2000,967971186100000000
10420,9.211,58.06,10.0,5.0,usp0009zf4,None,31,8,2000,967709846400000000
11351,55.036,-35.39,10.0,4.6,usp0009y2p,None,7,8,2000,965665149910000000
11446,23.889,143.727,67.0,4.5,usp0009xyh,None,5,8,2000,965472543120000000
11454,-24.38,-112.031,10.0,5.3,usp0009xy4,None,5,8,2000,965456012560000000
11900,-3.26,137.69799999999998,55.7,4.2,usp0009xap,Indonesia,28,7,2000,964773698350000000
11908,33.935,139.102,10.0,4.8,usp0009xad,None,28,7,2000,964759136490000000
12039,-53.553000000000004,-3.1689999999999996,10.0,5.9,usp0009x4h,None,25,7,2000,964494869790000000
12430,57.4004,-154.2593,42.2,3.7,ak00093lg2zk,United States,16,7,2000,963737178569000000
12474,17.973,-99.777,17.0,3.5,usp0009wht,Mexico,14,7,2000,963618994700000000
12506,28.718000000000004,142.51,33.0,4.8,usp0009wg5,None,14,7,2000,963578311410000000
13523,-28.278000000000002,74.229,10.0,3.9,usp0009v2w,None,24,6,2000,961888577390000000
13695,24.587,123.208,106.3,3.6,usp0009uve,Japan,19,6,2000,961458352570000000
13714,-13.309000000000001,97.037,10.0,4.6,usp0009uug,None,19,6,2000,961400493150000000
13716,-20.788,-178.612,617.2,4.7,usp0009uud,Fiji,19,6,2000,961389590030000000
14229,-48.956,121.391,10.0,4.6,usp0009u5b,None,7,6,2000,960340848540000000
14298,9.568,92.221,54.9,4.5,usp0009u28,None,5,6,2000,960213116320000000
14306,-4.72,102.331,33.0,4.6,usp0009u1t,Indonesia,5,6,2000,960199931110000000
14639,-25.346,179.47099999999998,500.0,4.1,usp000afrp,None,29,5,2001,991169361930000000
14652,-25.980999999999998,70.389,10.0,4.6,usp000afr3,None,29,5,2001,991141962130000000
